Código;Programa;Instituição de Ensino;Área de Avaliação;Área Básica;Situação;Modalidade;ME;DO;MP;DP
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCACÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUC., CIÊNCIA E TECNOLOGIA DO PARANÁ;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL ALAGOAS;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FED. DE EDUC, CIÊNC E TECNOLOGIA FARROUPILHA;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
