Código;Programa;Instituição de Ensino;Área de Avaliação;Área Básica;Situação;Modalidade;ME;DO;MP;DP
33005010028P4;GERONTOLOGIA;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO;INTERDISCIPLINAR                                  ;SAÚDE E BIOLÓGICAS;EM DESATIVACAO;ACADÊMICO;2;-;-;-
40022013002P6;GESTÃO AMBIENTAL;UNIVERSIDADE POSITIVO;CIÊNCIAS AMBIENTAIS;CIÊNCIAS AMBIENTAIS;EM DESATIVACAO;PROFISSIONAL;-;-;5;-
22001018075P2;Gestão de Recursos Hídricos;UNIVERSIDADE FEDERAL DO CEARÁ;ENGENHARIAS I                                     ;ENGENHARIA CIVIL;EM DESATIVACAO;PROFISSIONAL;-;-;3;-
33092010015P7;Gestão do Esporte;UNIVERSIDADE NOVE DE JULHO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;EM DESATIVACAO;PROFISSIONAL;-;-;3;-
40015017024P7;Gestão e Desenvolvimento Regional;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;EM DESATIVACAO;ACADÊMICO;2;-;-;-
52001016061P6;GESTÃO ORGANIZACIONAL;UNIVERSIDADE FEDERAL DE GOIÁS;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM DESATIVACAO;PROFISSIONAL;-;-;4;-
32037015002P7;GESTÃO SOCIAL, EDUCAÇÃO E DESENVOLVIMENTO LOCAL;CENTRO UNIVERSITARIO UNA;INTERDISCIPLINAR                                  ;SOCIAIS E HUMANIDADES;EM DESATIVACAO;PROFISSIONAL;-;-;4;-
32080018001P5;Hermenêutica e Direitos Fundamentais;UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;DIREITO                                           ;TEORIA DO DIREITO;EM DESATIVACAO;ACADÊMICO;2;-;-;-
31021018023P1;HISTORIA;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;HISTÓRIA                                          ;HISTÓRIA;EM DESATIVACAO;ACADÊMICO;-;4;-;-
52001016066P8;HISTORIA;UNIVERSIDADE FEDERAL DE GOIÁS;HISTÓRIA                                          ;HISTÓRIA;EM DESATIVACAO;PROFISSIONAL;-;-;3;-
