Código;Programa;Instituição de Ensino;Área de Avaliação;Área Básica;Situação;Modalidade;ME;DO;MP;DP
33002037018P7;MÁQUINAS AGRÍCOLAS;USP ( ESCOLA SUPERIOR DE AGRICULTURA LUIZ DE QUEIROZ );CIÊNCIAS AGRÁRIAS I                               ;ENGENHARIA AGRÍCOLA;DESATIVADO ;ACADÊMICO;-;-;-;-
32001010064P9;MATEMATICA;UNIVERSIDADE FEDERAL DE MINAS GERAIS;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ;MATEMÁTICA;DESATIVADO ;ACADÊMICO;-;-;-;-
24001023037P4;MATEMÁTICA;UNIVERSIDADE FEDERAL DA PARAÍBA/CAMPINA GRANDE;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ;MATEMÁTICA;DESATIVADO ;ACADÊMICO;-;-;-;-
33004153047P1;MATEMÁTICA;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( SÃO JOSÉ DO RIO PRETO );MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ;MATEMÁTICA;DESATIVADO ;ACADÊMICO;-;-;-;-
33004153075P5;MATEMÁTICA;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( SÃO JOSÉ DO RIO PRETO );MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ;MATEMÁTICA;DESATIVADO ;ACADÊMICO;-;-;-;-
27001016032P5;Matemática;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ;MATEMÁTICA;DESATIVADO ;ACADÊMICO;-;-;-;-
31001017109P0;MATEMÁTICA APLICADA;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ;MATEMÁTICA;DESATIVADO ;ACADÊMICO;-;-;-;-
25001019056P6;MATEMÁTICA COMPUTACIONAL;UNIVERSIDADE FEDERAL DE PERNAMBUCO;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
33004137028P6;MATEMÁTICA (FUNDAMENTOS DA MATEMÁTICA);UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( RIO CLARO );MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ;MATEMÁTICA;DESATIVADO ;ACADÊMICO;-;-;-;-
33004153076P1;MATEMÁTICA UNIVERSITÁRIA;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( SÃO JOSÉ DO RIO PRETO );MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ;MATEMÁTICA;DESATIVADO ;PROFISSIONAL;-;-;-;-
41011015001P4;MECATRÔNICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA;ENGENHARIAS III                                   ;PROJETOS DE MÁQUINAS;DESATIVADO ;PROFISSIONAL;-;-;-;-
25001019042P5;MEDICINA;UNIVERSIDADE FEDERAL DE PERNAMBUCO;MEDICINA I                                        ;MEDICINA;DESATIVADO ;ACADÊMICO;-;-;-;-
31004016002P0;MEDICINA (CARDIOLOGIA);UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;MEDICINA I                                        ;CARDIOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
32024010001P0;MEDICINA (CARDIOLOGIA);FUNDAÇÃO CARDIOVASCULAR SÃO FRANCISCO DE ASSIS              ;MEDICINA I                                        ;CARDIOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
40001016011P5;MEDICINA (CARDIOLOGIA);UNIVERSIDADE FEDERAL DO PARANÁ;MEDICINA I                                        ;CARDIOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33009015061P3;MEDICINA (CARDIOLOGIA);UNIVERSIDADE FEDERAL DE SÃO PAULO;MEDICINA I                                        ;CARDIOLOGIA;DESATIVADO ;PROFISSIONAL;-;-;-;-
33009015010P0;MEDICINA (CIRURGIA CARDIOVASCULAR);UNIVERSIDADE FEDERAL DE SÃO PAULO;MEDICINA III                                      ;CIRURGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33039011001P6;MEDICINA (CIRURGIA DE CABEÇA E PESCOÇO);HOSPITAL HELIÓPOLIS                                         ;MEDICINA III                                      ;CIRURGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33002010153P0;MEDICINA (CIRURGIA DO APARELHO DIGESTIVO);UNIVERSIDADE DE SÃO PAULO;MEDICINA III                                      ;CIRURGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
31003010008P5;MEDICINA (CIRURGIA GASTROENTEROLÓGICA);UNIVERSIDADE FEDERAL FLUMINENSE;MEDICINA III                                      ;CIRURGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
31001017042P2;MEDICINA (CIRURGIA GERAL);UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;MEDICINA III                                      ;CIRURGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
31003010009P1;MEDICINA (CIRURGIA TORÁCICA);UNIVERSIDADE FEDERAL FLUMINENSE;MEDICINA III                                      ;CIRURGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
22001018030P9;MEDICINA (CLÍNICA MÉDICA);UNIVERSIDADE FEDERAL DO CEARÁ;MEDICINA I                                        ;CLÍNICA MÉDICA;DESATIVADO ;ACADÊMICO;-;-;-;-
33019010004P1;MEDICINA (CLÍNICA MÉDICA);FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA DE SÃO PAULO;MEDICINA I                                        ;CLÍNICA MÉDICA;DESATIVADO ;ACADÊMICO;-;-;-;-
53001010024P0;MEDICINA (CLÍNICA MÉDICA);UNIVERSIDADE DE BRASÍLIA;MEDICINA I                                        ;CLÍNICA MÉDICA;DESATIVADO ;ACADÊMICO;-;-;-;-
31001017046P8;MEDICINA (CLÍNICA OBSTÉTRICA);UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;MEDICINA III                                      ;GINECOLOGIA E OBSTETRÍCIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33009015046P4;MEDICINA DE URGÊNCIA;UNIVERSIDADE FEDERAL DE SÃO PAULO;MEDICINA I                                        ;CLÍNICA MÉDICA;DESATIVADO ;ACADÊMICO;-;-;-;-
31001017043P9;MEDICINA (DERMATOLOGIA);UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;MEDICINA I                                        ;DERMATOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
31003010010P0;MEDICINA (DERMATOLOGIA);UNIVERSIDADE FEDERAL FLUMINENSE;MEDICINA I                                        ;DERMATOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
32001010021P8;MEDICINA (DERMATOLOGIA);UNIVERSIDADE FEDERAL DE MINAS GERAIS;MEDICINA I                                        ;DERMATOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33009015023P4;MEDICINA (DERMATOLOGIA);UNIVERSIDADE FEDERAL DE SÃO PAULO;MEDICINA I                                        ;DERMATOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33009015052P4;MEDICINA (DERMATOLOGIA CLÍNICA E CIRÚRGICA);UNIVERSIDADE FEDERAL DE SÃO PAULO;MEDICINA I                                        ;DERMATOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
31003010030P0;MEDICINA (DOENÇAS INFECCIOSAS E PARASITÁRIAS);UNIVERSIDADE FEDERAL FLUMINENSE;MEDICINA II                                       ;DOENÇAS INFECCIOSAS E PARASITÁRIAS;DESATIVADO ;ACADÊMICO;-;-;-;-
40002012007P4;MEDICINA E CIÊNCIAS DA SAÚDE;UNIVERSIDADE ESTADUAL DE LONDRINA;MEDICINA I                                        ;CLÍNICA MÉDICA;DESATIVADO ;ACADÊMICO;-;-;-;-
28001010050P0;MEDICINA E SAÚDE - CPGMS-ACRE;UNIVERSIDADE FEDERAL DA BAHIA;MEDICINA I                                        ;MEDICINA;DESATIVADO ;ACADÊMICO;-;-;-;-
31004016003P6;MEDICINA (ENDOCRINOLOGIA);UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;MEDICINA I                                        ;ENDOCRINOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
31005012016P7;MEDICINA (ENDOCRINOLOGIA);PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;MEDICINA I                                        ;ENDOCRINOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
